S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1588,VI,Tapchief,2016,TapChief offers a cohesive platform to discover and schedule calls with experts to get advice across domains,Technology,Software & Computer Services,Software and Internet Services,,B2B2C,Professional networking,"Recruit, Job and career",,Bengaluru,Karnataka,VC Funded,Communication services,,,,,,1,Shashank Murali,,,,,,,,,,,42461,,Angel Investors ,0.9,,,,42675,,Angel Investors ,,,,,,,,,,,,,,,,,,,,,
1589,VI,Skillangels.com,,Eduaction and learning platfrom where you develop your skil by solving puzzles,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Skill Development,"Recruit, Job and career",,,,,Placement and Employment related services,,,,,,,,,,,,,,,,,,42156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,VI,Shopatplaces,2012,Shopatplaces.com is an e-commerce site which provides handpicked Authentic Products from Places Famous for them.One does not have to travel any longer to buy Pashmina scarfs from Kashmir in India or handcrafted leather shoes from Italy. Shopatplaces provides them at one's doorstep.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Fashion and Lifestyle,Regional Speciality,Tours and Travels,New Delhi,,,Fashion,,,,,,2,Zuhaib Khan,Shefur Rehman,,,,,,,,,,42186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,VI,Phantom Hands,,Phantom Hands is a collective of furniture artisans specialising in handmade modern pieces such as Pierre Jeanneret's chairs for Chandigarh.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2B2C,Furniture,Regional Speciality,Home Décor,Bengaluru,Karnataka,Angel investment,Home and furniture,,,,,,,,,,,,,,,,,,41883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,VI,Salebhai.com,2015,"Salebhai specialises in providing customers with articles sourced from specific regions. The portal currently delivers food specialities (sweets, namkeen, chocolates, bakery, spices, pickles, beverages, etc.), handicrafts, handloom products, herbal items, and organic wellness products from across the country.",Consumer_goods,Food and Beverage,Hyperlocal and Logistics,Not required,B2C,Groceries,Regional Speciality,,Ahmedabad,Gujarat,,Online Grocery,,,,,,2,Vishwavijay Singh,Purba Kalita,,,,,,,,,,42583,,Angel Forum,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,VI,Muhurtmaza,2014,Online Puja services for marriages funeral housewarming and religious services.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Religious Services,Religious services,,Pune,Maharashtra,Angel investment,Specialized Consumer Services,,,,,,,Sughosh Sowale,,,,,,,,,,,42644,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,VI,Transcell Biologics,2009,Transcell’s banking services are available pan-India and we harvest & process stem cells utilizing our patented technology and world-class infrastructure,Financials,Financial services,Fin-Tech and Payments,Not required,B2B,Banking Services,,Buisness Intelligence,Hyderabad,Andhra Pradesh,Angel investment, Banking and Non Banking Financial services,,,,,,1,Subhadra Dravida,,,,,,,,,,,42461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,VI,Twigly,2015,Twigly is a food ordering app that delivers global cuisine at your doorstep,Consumer_goods,Food and Beverage,Hyperlocal and Logistics,Not required,B2C,Food Ordering,Restaurants,,Gurgaon,Haryana,Angel investment,Food Services,,,,,,3,Rohan Dayal,Sonal Minhas,Naresh Kumar Kachhi,,,,,,,,,42552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,VI,OnlineRTI,2012," A person who wishes to file RTI can visit the website, fill the details and pay the fees online. We will find the correct department, pay the fees by person and file RTI application on their behalf. We also track the RTI application and make sure the person receives the information within 30 days. If ",Consumer_services,Retail,Consumer Products and Services,,B2C,,Right to Information,Government,Bengaluru,Karnataka,VC Funded,Professional Services,,,,,,,Pradeep Bhatt, Vinod Ranganathan,,,,,,,,,,42339,,Venture Capitalist,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,VI,Systemantics,1995,Systemantics is a contemporary high-tech industrial robotics company on a mission to enable widespread adoption of industrial automation.,Technology,Technology Hardware & Equipment,Technology,Not required,B2B,Industrial automation,Robotics Development,,Bengaluru,Karnataka,,Robotics,,,,,,,,,,,,,,,,,,41640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,VI,SwarmX,2015,"SwarmX is an autonomous drone operation platform that focuses on developing autonomous robots which gathers information to make data driven decisions. The company operates Hive, an autonomous drone base station with weather sensing technology that assists in planning surveillance mission plans. HiveMind OS is a command and control center for drone swarms that identifies and generates alerts for various user-defined events relating to people, vehicles, and static objects.",Technology,Technology Hardware & Equipment,Technology,,B2C,Drone,Robotics Development,,,,,Drones,,,,,,2,Pulkit Jaiswal,Nigel Wylie,,,,,,,,,,42552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,VI,WizRocket,2013,CleverTap's industry-first features such as live-user segments help you uncover key insights and drive users to perform the next best action. ,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,SaaS,Mobile Application,Mumbai,Maharashtra,VC Funded,Big Data Analytics and Machine learning,,,,,,3,Sunli Thomas,Anand Jain ,Suresh Kondmudi,,,,,,,,,41821,1,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,VI,RepUp,2014,Repup is a platform which helps hotelliers make sense of online review data. There are countless reviews written online on a daily basis on various platforms and in many languages. Making sense of this clutter can be an unnerving task.,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,Saas,Hospitality,Gurgaon,Haryana,Angel investment,Big Data Analytics and Machine learning,,,,,,1,Pranjal Prashar,,,,,,,,,,,41944,,Angel Investors,0.3,,,,42278,1,Angel Investors,,,,,,,,,,,,,,,,,,,,,
1601,VI,PropheSee,2014,"As a Big Data Software as a Service (SaaS), PropheSee allows brands to discover & analyze the the vast amount of data at their disposal in addition to optimizing strategies by developing functional insights. Rather than analyzing several data sources in isolation - be it social media channels (such as Facebook, Twitter & Instagram) to customer relationship management & sales figures etc. ",Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Data Analytics and Artificial Intelligence to solve industrial problems,SaaS,Customer Relationship Management,New Delhi,,Angel investment,SaaS,,,,,,3,Jitesh Luthra,Ishaan Sethi,Harshil Gurha,,,,,,,,,42248,,Angel Forum,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,VI,LetsVenture,,Online platform for seed and angel investment for startup,Financials,Financial services,Fin-Tech and Payments,Not required,B2C,Angel Investment,Seed Funding,,Bengluru,Karnataka,VC Funded, Asset Management ,,,,,,,,,,,,,,,,,,41760,21,Angel Investors,4,,,,42278,18,Angel Forum,,,,,,42795,1,Angel Investors,,,,,,,,,,,,,
1603,VI,xSi Semiconductors,,They are a start-up specializing in development of mixed signal IC based products. The company is founded by a team with 50+ years’ experience in semiconductor industry. The main motivation behind starting this venture is to carve out a place in semiconductor industry belonging distinctly to xSi. ,Technology,Technology Hardware & Equipment,Technology,Not required,B2B,Energy Solutions,Semiconductor,Manufacturing,Bengaluru,Karnataka,Angel investment,Semiconductors,,,,,,2,Hrishikesh Bhagwat,Krishnadas B,,,,,,,,,,41640,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,VI,WorkApps,2015,WorkApps is a Work Management System,Technology,Software & Computer Services,Software and Internet Services,Not required,B2C,Management Consultancy,,Mobile Application,Pune,Maharashtra,Angel investment,Software services for consumers,,,,,,2,MVS Murthy,Shankar Bosate,,,,,,,,,,42552,,Venture Capitalist,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,VI,Urban Dhobi,2015,Urban dhobi is a pick & drop laundry service started to cater the needs of having clean clothes that too without spending too much time as we hardly have any to contribute towards washing your own clothes.,Consumer_services,Retail,Hyperlocal and Logistics,Not required,B2C,Laundry,,Laundry,Jaipur,Rajasthan,Angel investment,Laundry,,,,,,4,Saraansh Sidhu,Tushar Thettayil,Prakhar Pagaria,,,,,,,,,42401,2,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,VI,VOW CarClinic,2015,VOW CarClinic [VOW ~ Value On Wheels] is a differentiated marketplace for car servicing/repair needs in the consumer space.,Consumer_services,Retail,Hyperlocal and Logistics,Not required,B2C,Maintainance and services,,,Gurgaon,Haryana,Angel investment,Automobile maintenance and services,,,,,,2,Harmeet singh hora,Abhshik Menon Ramchandran,,,,,,,,,,42736,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,VI,Notesgen,2014,peer-2-peer EdTech solutions: A students’ notes exchange platform that connects the best students from across the world to others looking for help with their studies.,Consumer_services,Retail,Edu-Tech,Not required,B2C,Coaching and Tutoring,Sharing,Mobile Application,New Delhi,,Angel investment,Tuitions and Tutors,,,,,,,Manak Gulati,Roman Khan,,,,,,,,,,42583,1,Angel Investors,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,VI,Stage3,2015,STAGE 3 is focused on the design and manufacturing of clothing and accessories. It offers an online platform that enables women to find and rent its products.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Fashion and Lifestyle,Shopping,Rent Clothes,New Delhi,,,Borrow and rent goods and products,,,,,,1,Sabena Puri,,,,,,,,,,,42339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,VI,ZiPi,2015,"ZiPi is an application that allows users to shop, eat, book services, and read the news all in one place.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Food Ordering,Shopping,Mobile Application,Indore,Madhya Pradesh,Angel investment,Marketplace,,,,,,5,Pranav Singhi,Sukrta ray,Varun Singh Bothiyal,,,,,,,,,42583,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,VI,StylFlip,2015,"Stylflip hopes to re-define the way people consume fashion and provide access to trendy, high fashion and luxury brands.The app based platform, which is available on Android and iOS, allows sellers to upload pictures of item to be sold which is then authenticated and sanitized by StylFlip before displaying them on the platform.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,Not required,B2C,Fashion and Lifestyle,Shopping,Mobile Application,Mumbai,Maharashtra,,Fashion,,,,,,1,Zarik Nabi,,,,,,,,,,,42430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,VI,Yellowdig,2014,"Social Collaboration Tool that brings knowledge from outside of the classroom into the course material. Yellowdig turns the classroom into a learning community where students can learn from any source, anytime, anywhere, and from any device.",Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Online Study,Skill Development,,Pune,Maharashtra,Angel investment,Online courses and resources,,,,,,,Ravindra Jaju,Shaunak Roy,,,,,,,,,,42552,,Angel Forum,8.367,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,VI,Voicefriends,2015,"Voicefriends is a unique phone chatline service to give people an avenue to meet other local friends in a fun and safe way. Our mission is to help you make real and instant connections with many like-minded friends to experience fun, friendship and relationships.",Technology,Software & Computer Services,Social Platforms,Not required,B2C,Meet New People,Social networking ,Video Chat,Mumbai,Maharashtra,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42370,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,VI,RegisterMyMarriage,2014,RegisterMyMarriage.com provides services in relation to completing registration of one's marriage online. The services provided ensure that most of the process of marriage registration is completed from the comfort of one's home.,Consumer_services,Retail,Social Platforms,,B2C,Matrimonial,Social networking ,Service Industry,,Haryana,Angel investment,Connect People for Dating and Matrimonial,,,,,,2,Ankur Arun,Gaurav Sharma,,,,,,,,,,42736,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,VI,Nodd,2016,It is the world’s most effective and exclusive networking platform based on interest areas and targeted towards the top 150 million of the world. It that brings together people who are part of this exclusive group to expand their personal and professional alliances while fuelling their passion and hobbies,Technology,Software & Computer Services,Social Platforms,Not required,B2C,Professional networking,Social networking ,Mobile Application,Mumbai,Maharashtra,Angel investment,Connect to Professionals,,,,,,3,Shubham Rai,Arpit Bajpai,Praleed Suvarna,,,,,,,,,42675,11,Angel Investors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,VI,Vee,2014,"Vee is Pinterest for People Discovery, enabling meaningful new connections for millenials, who want to meet interesting and relevant people.",Technology,Software & Computer Services,Social Platforms,,B2C,Meet New People,Social networking ,Mobile Application,Noida,Uttar Pradesh,VC Funded,Connect People for Social Activities,,,,,,1,Nitin Gupta,,,,,,,,,,,42401,2,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,VI,Play Your Sport,2015,Play Your Sport is a social platform that help you connect to others who want to play the sport you are interested in your area.,Technology,Software & Computer Services,Social Platforms,Not required,B2C,Connect People for Sports,Social networking ,Mobile Application,New Delhi,,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42522,1,Angel Investors,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,VI,Touchtalent,2012,"TouchTalent.com is a web based global community that allows users to display, share, appreciate and monetize art and design.",Consumer_services,Media,Social Platforms,,B2C,Artist Profile,Social networking ,Media and entertainment,New Delhi,,Angel investment,Connect People for Social Activities,,,,,,,Mohmmd Wasim,Ankit Prasad,,,,,,,,,,41791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,VI,NearFox,2015,"NearFox writes, curates and crowdsources the local content that's relevant for the locality. From news on neighborhood to fun events in the city to an awesome discussion forum, NearFox keeps user informed, entertained and clued in. In short: User can read news, browse through events and talk with neighbors within 4 km of his/her location. User can also discover cool events across the city. ",Consumer_services,Media,"Media, Advertising and Gaming",Social Platforms,B2C,Media and entertainment,Social networking ,,Mumbai,Maharashtra,Angel investment,Media and entertainment,,Website for information,,,,,Pritesh Mittal,Kiran Patil,,,,,,,,,,42583,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,VI,Wetravelsolo,2014,"Wetravelsolo.com is India`s first solo traveler community which gives you the opportunity to connect, meet and travel with other like-minded Solo Traveler. Bridging the ever increasing divide between the online and offline world of people, ",Consumer_services,Travel and Leisure,Consumer Products and Services,Not required,B2C,Travel guide,Tours and Travels,Transportation,Noida,Uttar Pradesh,Angel investment,Travel & Tourism,,,,,,1,Shefali Walia,,,,,,,,,,,42095,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,VI,YuMiGo,2015,"YuMiGo is the one stop shop for your international travel needs. It aggregates service providers globally for forex, sim cards, travel insurance and visas. YuMigo wants you to make the most out of your holiday, it ensures you always have access to the right information and the right service provider.",Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Travel guide,Tours and Travels,Transportation,,Haryana,Angel investment,Travel & Tourism,,,,,,2,Rishab Sood,Pratyush Kukreja,,,,,,,,,,42644,,Angel Investors,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,VI,WeAreHolidays,2011,"WeAreHolidays is an online platform that enables users to find, plan, and book travel packages from around the world.",Consumer_services,Travel and Leisure,Consumer Products and Services,Not required,B2C,Service Industry,Tours and Travels,Transportation,New Delhi,,VC Funded,Travel & Tourism,,,,,,3,Hakirat Singh,Moit Piplanii,Deepak Wadhwa,,,,,,,,,41852,,Venture Capitalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,VI,TicketGoose,2007,"Book your online bus tickets to various destinations with Ticketgoose.com, a leading travel agent in India.",Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Bus Booking,Tours and Travels,Transportation,Bengaluru,Karnataka,Angel investment,Booking,,,,,,2,ArunKUmar Athippan,Karth Easwaramoorthy,,,,,,,,,,42309,,Angel Forum,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,VI,Tripoto,2013,Tripoto is a social publishing platform for sharing and discovering user generated travel itineraries and stories.,Consumer_services,Travel and Leisure,Social Platforms,,B2C,Blogging,Tours and Travels,Transportation,New Delhi,,Angel investment,Website for information,,,,,,2,Anirudh Gupta,,,,,,,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,VI,RentOnGo,2012,"Rentongo.com is an online marketplace in India for rental of goods.Rentongo is a platform lists various kinds of products that are available on rent like furniture, appliances, bikes, camping gear etc.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Borrow and rent goods and products,Tours and Travels,Industrial Automation,Bengaluru,Karnataka,Angel investment,Borrow and rent goods and products,,,,,,3,Vikash Jalan,Nikhil Chabra,Indresh MS,,,,,,,,,42339,5,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,VI,Roadhouse Hostels,2014,"A Chain of Backpacker's Hostel providing cheap, safe and Cool accommodations in India and abroad.",Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Hotel Booking,Tours and Travels,Hospitality,,Goa,Angel investment,Booking,,,,,,,,,,,,,,,,,,42401,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,VI,RoomnHouse.com,2012,"Room n House- an online marketplace for travelers to find and book places rented out by homeowners, renters, and landlords.",Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Hotel Booking,Tours and Travels,Hospitality,Mumbai,Maharashtra,Angel investment,Booking,,,,,,2,Amit Solanki,Rakesh Singh,,,,,,,,,,41821,,Venture Capitalist,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,VI,Routofy,2014,"Routofy is a door-to-door travel booking platform.s been created on the philosophy of providing users with a unique and visionary travel experience. Routofy combines flights, trains, buses & cabs to give users a coordinated travel itinerary for their journey. Their route-planning services allow people to know 'how to reach' any desired destination and choose a suitable route based on price, duration of journey & availability.",Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Hotel Booking,Tours and Travels,Hospitality,New Delhi,,Angel investment,Booking,,,,,,3,Abhishek Gupta,Rounak Gupta,Akshat Gupta,,,,,,,,,42064,2,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,VI,NightStay,2014,a last minute same day hotel booking app customised for the needs of spontaneous and last minute traveller. A mobile only platform focussed on offering a lightning fast booking experience to the users and offering unbelievable prices on luxury and boutique hotels.,Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Hotel Booking,Tours and Travels,,New Delhi,,VC Funded,Booking,,,,,,,Nasr Khan,Deepak Negi,,,,,,,,,,42217,,Venture Capitalist,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,VI,PlanMyMedicalTrip,2000,The project “PLANMYMEDICALTRIP.COM” which gives you a chance to actively project and promote your Hospital/institution.,Healthcare,Healthcare,Health-Tech,Not required,B2C,Healthcare,Tours and Travels,,Pune,Maharashtra,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,Anurav Rane ,Rajiv Rane,,,,,,,,,,42370,3,Angel Investors,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,VI,Orahi,2012,Orahi is a dynamic ride sharing system that lets you share car rides to office and back.,Industrials,Industrial goods and services,Hyperlocal and Logistics,,B2C,Car and bike pool,Transportation,Mobile Application,Gurgaon,Haryana,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,,Swati Sahia,Sameer Khanna,Arun Bhati,,,,,,,,,42370,,Angel Forum,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,VI,Rapido ,2015,"Rapido is basically a platform where you can book a bike ride through a mobile app while traveling solo. With the traffic situation exceptionally pathetic especially during peak hours, zipping past in a two-wheeler saves a lot of time.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Car and bike pool,Transportation,Mobile Application,Bengaluru,Karnataka,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,3,Pavan Guntupalli,Rishikesh SR,Arvind Sanka,,,,,,,,,42461,,Angel Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,VI,Tazzo,2015,Tazzo is an on-demand delivery platform for the rental of self-drive motorbikes.,Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Bike Rentals,Transportation,,Hyderabad,Andhra Pradesh,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,4,Priyam Saraswat,hivangi Shrivastava,Priyank Sutar,,,,,,,,,42644,,Angel Forum,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,VI,Living Local,,"Online social network website for connecting people to restaurants, nightlife, neighbourhood",Technology,Software & Computer Services,Social Platforms,Not required,B2C,Meet New People,Travel Guide,New Places Nearby,Mumbai,Maharashtra,Angel investment,Connect People for Social Activities,,,,,,,,,,,,,,,,,,42461,1,Angel Investors,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,VI,Nexgear Technology,2014," Startup that develops wearable technology devices. Its primary product, Frodo, is an intelligent adventure camera that uses artificial intelligence and algorithms to edit hours of adventure footages into ready-to-share videos instantly.",Technology,Technology Hardware & Equipment,Technology,,B2C,Wearable Gadgets and Devices,Video Making,,Mumbai,Maharashtra,Angel investment,Wearable Technology,,,,,,,Amardeep Singh,Rahul Vats,,,,,,,,,,42095,,Angel Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,VI,Sensara,2014,"The best overview of what's playing on TV now ! Our editors look at over 300 TV channels playing in India, and carefully select shows you should not miss.",Technology,Software & Computer Services,"Media, Advertising and Gaming",Not required,B2C,Media and entertainment,Video Streaming,Mobile Application,Bengaluru,Karnataka,,Media and entertainment,,,,,,1,Bharath Kumar Mohan,,,,,,,,,,,42370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,VI,ShepHertz Tech,2010,"ShepHertz provides an Omni-Channel Platform (Mobile, Web, Social, Gaming, TV, IoT, Wearables etc.) for complete end to end digitization. Deployed in 9 countries and processing 75+ Billion API Calls, ShepHertz is trusted by thousands of Indie developers, App Studios and Enterprises in 150+ countries.",Technology,Technology Hardware & Equipment,"Media, Advertising and Gaming",Technology,B2B2C,SaaS,Wearable Gadgets and Devices,Internet of Things,,,,Technology and Software for the media and entertainment industry ,,Wearable Technology,,,,,,,,,,,,,,,,41821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,VI,Witworks(Blink),2014,Blink is a Consumer IoT company that makes connected devices and its underlying software platform. Their pilot product is a smartwatch Blink,Technology,Technology Hardware & Equipment,Technology,,B2B2C,Internet of Things,Wearable Gadgets and Devices,Electronics,Bengaluru,Karnataka,Angel investment,Wearable Technology,,,,,,3,Ankit DP,saomnath Meher,Chandrashekar Iyer,,,,,,,,,42583,,Venture Capitalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,VI,Madrat Games,,Games and puzzle for children for learning. Innovating wearable games. New meaningful and engaging games that help in fostering the creative minds of young children. Online gaming also ,Consumer_goods,personal and household goods,"Media, Advertising and Gaming",,B2C,Gaming,Wearable Gadgets and Devices,,Bengluru,Karnataka,VC Funded,Games and Gaming enablers,,,,,,,Rajat Dhariwal,Madhumita Haldar,,,,,,,,,,41944,4,Angel Investors,6.2,,,,42186,1,Angel Investor,,,,,,42491,3,Angel Investors,14.8,,,,,42583,,,,,,,
1639,VI,Snapshopr,2014,Snapshopr is a visual intelligence platform designed for brands and retailers.,Technology,Software & Computer Services,Software and Internet Services,Not required,B2B,Buisness Intelligence,Website Developer,Search Engine,Bengaluru,Karnataka,,Software services for consumers,,,,,,3,Vivek Gadndhi,Debashish Pattnaik,Navneet Sharma,,,,,,,,,42370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,VI,WeddingWishlist,2015,"Wedding Wishlist is an offering from CherryTin.com, an online gift store. Prospective bride and groom are invited to a highly curated, online destination, where they make a wishlist of gifts they would like to receive, to start their new life together. They can choose from a rich selection of products specially curated for setting up a first home – Appliances, Furniture, Home Furnishings, Kitchen, Dining",Technology,Software & Computer Services,Consumer Products and Services,Not required,B2C,Gift Store,Wedding,Wishlist,Chennai,Tamil Nadu,Angel investment,Event Management,,,,,,1,Kanika Subbaih,,,,,,,,,,,42552,,Angel Investors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,VI,Weddingz.in,2015,"Weddingz.in - India's largest Wedding Company. From Wedding Venues to Makeup to inspiration, Get it all here at great prices! Call 76 66 77 88 99 today!",Consumer_services,Retail,Consumer Products and Services,Not required,B2C,,Wedding,Event Planner,Mumbai,Maharashtra,Angel investment,Event Management,,,,,,,,,,,,,,,,,,42339,,Angel Investors,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,VI,Wedmegood,2014,"WedMeGood is a team of powerpuff humans, that link their professional expertise to their personal love for weddings. They work at weddings, from weddings, for weddings. So sit back, log on to WedMeGood, and feed all your whims and fancies!",Consumer_services,Retail,Consumer Products and Services,Not required,B2C,,Wedding,Event Planner,Gurgaon,Haryana,Angel investment,Event Management,,,,,,,,,,,,,,,,,,42248,,Angel Forum,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,VI,PeeBuddy,2014,PeeBuddy is the brain child of Delhi based organization Female urination device PeeBuddy raises US$450K funding from IAN,Healthcare,Healthcare,Health-Tech,Not required,B2C,Healthcare,Women Health,,New Delhi,,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,Deep Bajaj,,,,,,,,,,,42795,,Angel Forum,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,VI,Saral Designs,2015,"To provide every girl with high quality hygiene solutions, to help her embrace womanhood with dignity.",Healthcare,Healthcare,Health-Tech,Not required,B2C,Healthcare,Women Health,,Mumbai,Maharashtra,,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,42370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,VI,NowFloats,2012,NowFloats enables Small and Medium Businesses (SME) to get an online presence by simply using SMS. This website can also be updated by sending regular SMS and this message can be delivered to the loyal customers of that business. Additionally the NowFloats algorithm ensures highest discoverability through intelligent Search Engine Optimization (SEO).,Technology,Software & Computer Services,"Media, Advertising and Gaming",Not required,B2B,Marketing and Branding,,Website Developer,Hyderabad,Andhra Pradesh,VC Funded,Advertising,,,,,,,Neeraj Sbbarwal,Nitin Jain,Ronak Smantray,,,,,,,,,42036,,Venture Capitalist,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,VI,Quifers,2015,"Quifers offers a wide range of logistics services, including point-to-point deliveries and distributions as well as hourly rental services.",Industrials,Industrial goods and services,Hyperlocal and Logistics,Not required,B2B2C,Delivery Services ,,Transportation,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,3,Amit Bansal ,Amit Mishra,Vaibhva Gupta,,,,,,,,,42278,,Angel Forim,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
